method,train_word_error,test_word_error,train_char_error,test_char_error,train_time,test_time,repeat_index,window_radius,window_size,n_train,n_test,train_word_acc,test_word_acc,train_char_acc,test_char_acc
auto_context,0.031000000000000028,0.70425,0.004310907903331107,0.23037323037323032,4.338038375135511,0.05037541687488556,2,1,3,1000,4000,0.969,0.29574999999999996,0.9956890920966689,0.7696267696267697
auto_context,0.2188,0.632,0.03864174782837593,0.19316563834836264,7.987211124971509,0.03377695893868804,0,1,3,2500,2500,0.7812,0.368,0.9613582521716241,0.8068343616516374
auto_context,0.21719999999999995,0.6396,0.038039771236686115,0.19011587914704486,7.988133915932849,0.048911415971815586,1,1,3,2500,2500,0.7828,0.36040000000000005,0.9619602287633139,0.8098841208529551
auto_context,0.20679999999999998,0.6396,0.03399790136411329,0.19615832363213037,7.89369654096663,0.052075165789574385,2,1,3,2500,2500,0.7932,0.36040000000000005,0.9660020986358867,0.8038416763678696
auto_context,0.3055,0.597,0.06282377008611872,0.1682133054502679,12.618236749898642,0.02595666702836752,0,1,3,4000,1000,0.6945,0.403,0.9371762299138813,0.8317866945497321
auto_context,0.33025000000000004,0.5860000000000001,0.06760581923507336,0.1632787750791974,11.622185749933124,0.044961916049942374,1,1,3,4000,1000,0.66975,0.4139999999999999,0.9323941807649266,0.8367212249208026
auto_context,0.31375,0.5740000000000001,0.06389135510177235,0.16311117000132502,11.190807707840577,0.05150466714985669,2,1,3,4000,1000,0.68625,0.42599999999999993,0.9361086448982276,0.836888829998675
auto_context,0.0,0.6447499999999999,0.0,0.21007081038552322,4.907132499851286,0.06031520804390311,0,2,5,1000,4000,1.0,0.35525000000000007,1.0,0.7899291896144768
auto_context,0.0,0.657,0.0,0.20608999736078126,5.1146721669938415,0.06007979088462889,1,2,5,1000,4000,1.0,0.34299999999999997,1.0,0.7939100026392187
auto_context,0.0,0.654,0.0,0.21043272080616482,5.150210125138983,0.055465583223849535,2,2,5,1000,4000,1.0,0.346,1.0,0.7895672791938352
auto_context,0.026800000000000046,0.5948,0.00373723549847349,0.18027426160337556,9.365520042134449,0.05831662495620549,0,2,5,2500,2500,0.9732,0.4052,0.9962627645015265,0.8197257383966244
auto_context,0.017199999999999993,0.6036,0.0023901843097678954,0.18389002143118494,9.150404708227143,0.06239633308723569,1,2,5,2500,2500,0.9828,0.3964,0.9976098156902321,0.8161099785688151
auto_context,0.019199999999999995,0.5932,0.0028045295798496683,0.18095487932843657,9.649439583998173,0.05575320799835026,2,2,5,2500,2500,0.9808,0.40680000000000005,0.9971954704201503,0.8190451206715634
auto_context,0.08325000000000005,0.573,0.013027704485488178,0.16404818015187217,13.907678333111107,0.059865792049095035,0,2,5,4000,1000,0.91675,0.42700000000000005,0.9869722955145118,0.8359518198481278
auto_context,0.08850000000000002,0.5549999999999999,0.013378915880477349,0.1634602627039936,14.677981749875471,0.0636974589433521,1,2,5,4000,1000,0.9115,0.44500000000000006,0.9866210841195227,0.8365397372960064
auto_context,0.08450000000000002,0.5640000000000001,0.012820091384241117,0.16757330502852597,14.001083167036995,0.054994332836940885,2,2,5,4000,1000,0.9155,0.43599999999999994,0.9871799086157589,0.832426694971474
fixed_point,0.402,0.624,0.10366741692042902,0.19105410294359482,1.4821206249762326,0.23885275004431605,0,0,1,1000,4000,0.598,0.376,0.896332583079571,0.8089458970564052
fixed_point,0.41600000000000004,0.63425,0.10794780545670224,0.19508741891936388,1.5013332499656826,0.24208070780150592,1,0,1,1000,4000,0.584,0.36575,0.8920521945432978,0.8049125810806361
fixed_point,0.43400000000000005,0.62175,0.10587777345270533,0.18839046643086177,1.4566733750980347,0.24896625010296702,2,0,1,1000,4000,0.566,0.37825,0.8941222265472947,0.8116095335691382
fixed_point,0.49239999999999995,0.5556,0.13347011784511786,0.1675461741424802,2.281357957981527,0.2448072920087725,0,0,1,2500,2500,0.5076,0.4444,0.8665298821548821,0.8324538258575198
fixed_point,0.4768,0.5840000000000001,0.1361967108414498,0.1691794042464395,2.2606143748853356,0.24501858418807387,1,0,1,2500,2500,0.5232,0.4159999999999999,0.8638032891585502,0.8308205957535605
fixed_point,0.48240000000000005,0.5596,0.13289123283379456,0.16759717126601792,2.301783832954243,0.24168941704556346,2,0,1,2500,2500,0.5176,0.4404,0.8671087671662054,0.8324028287339821
fixed_point,0.48675,0.563,0.13626627121436807,0.17667148298962299,3.1661197498906404,0.23381712497211993,0,0,1,4000,1000,0.51325,0.43700000000000006,0.8637337287856319,0.823328517010377
fixed_point,0.49275,0.5329999999999999,0.13942608638355347,0.15936883629191323,3.3327052500098944,0.2420745410490781,1,0,1,4000,1000,0.50725,0.4670000000000001,0.8605739136164465,0.8406311637080868
